year,outage_date,outage_time,state(s) affected,state(s) affected_abbr,region,utility_region,listed cause,weather-related?,weather_type,weather_details (where available)
2000,1/23/00,8:00 AM,South Carolina,SC,Southeast,SERC,Ice Storm,yes,winter weather,
2000,1/24/00,7:00 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Ice Storm,yes,winter weather,
2000,1/29/00,10:00 PM,South Carolina,SC,Southeast,SERC,Ice Storm,yes,winter weather,
2000,3/18/00,4:00 PM,Texas,TX,South,MAIN,Transmission Line Loss,not attributed to weather ,,
2000,3/18/00,7:08 PM,New Mexico,NM,SouthWest,WSCC,Transmission Line Loss,not attributed to weather ,,
2000,4/1/00,Unknown,Texas,TX,South,FRCC,Transformer Faulted,not attributed to weather ,,
2000,4/1/00,Unknown,Virginia,VA,Southeast,SERC,Relay Malfunction & Fire,not attributed to weather ,,
2000,5/2/00,4:00 AM,Texas,TX,South,ERCOT,Severe Weather,yes,severe weather,
2000,5/8/00,Unknown,Delaware,DE,Northeast,MAAC,Energy Conservation,not attributed to weather ,,
2000,5/9/00,11:39 AM,New York,NY,Northeast,NPCC,Energy Conservation ,not attributed to weather ,,
2000,5/18/00,6:00 PM,Illinois,IL,Ohio Valley,MAIN,Severe Weather High Wind,yes,severe weather,
2000,5/21/00,Unknown,North Carolina,NC,Southeast,SERC,Thunder/Lightning,yes,severe weather,
2000,5/24/00,10:15 AM,Texas,TX,South,SPP,Voltage Elec Usage,not attributed to weather ,,
2000,5/25/00,10:00 AM,North Carolina,NC,Southeast,SERC,Severe Weather,yes,severe weather,
2000,6/14/00,1:13 PM,California,CA,West,WSCC              ,Generating Resources Loss,not attributed to weather ,,
2000,6/14/00,3:45 PM,Ohio,OH,Ohio Valley,ECAR,Relay Trouble,not attributed to weather ,,
2000,6/14/00,3:54 PM,Arizona,AZ,SouthWest,WSCC,Tripped Lines Fire,not attributed to weather ,,
2000,6/28/00,5:52 PM,"North Carolina, Virginia","NC, VA",Southeast,SERC       ,Line Outages/Switch Fire,not attributed to weather ,,
2000,7/3/00,Unknown,Alaska,AK,Hawaii/Alaska,ASCC,B-phase to ground fault,not attributed to weather ,,
2000,7/20/00,Unknown,Alabama,AL,Southeast,SERC,High winds and thunder,yes,severe weather,
2000,8/6/00,4:00 PM,Illinois,IL,Ohio Valley,MAIN,Severe weather,yes,severe weather,
2000,8/9/00,6:30 PM,Ohio,OH,Ohio Valley,ECAR,Severe weather,yes,severe weather,
2000,8/10/00,Unknown,Illinois,IL,Ohio Valley,MAIN  ,Circuit failure/fire,not attributed to weather ,,
2000,8/10/00,9:30 PM,Alabama,AL,Southeast,SERC,Severe weather,yes,severe weather,
2000,8/18/00,6:30 PM,North Carolina,NC,Southeast,SERC,Severe Weather,yes,severe weather,
2000,8/28/00,11:00 PM,Indiana,IN,Ohio Valley,ECAR,Tripped line,not attributed to weather ,,
